Id,GovernorateId,NameEn,NameAr,GovernorateNameEn,GovernorateNameAr
348,9,Jaba' (Tajammu' Badawi),جبع  (تجمع بدوي),Jerusalem,القدس
349,9,Qalandiya,قلنديا,Jerusalem,القدس
350,9,Beit Duqqu,بيت دقو,Jerusalem,القدس
351,9,Jaba',جبع,Jerusalem,القدس
352,9,Al Judeira,الجديرة,Jerusalem,القدس
353,9,Ar Ram & Dahiyat al Bareed,الرام وضاحية البريد,Jerusalem,القدس
354,9,Beit 'Anan,بيت عنان,Jerusalem,القدس
355,9,Al Jib,الجيب,Jerusalem,القدس
356,9,Bir Nabala,بير نبالا,Jerusalem,القدس
357,9,Beit Ijza,بيت إجزا,Jerusalem,القدس
358,9,Al Qubeiba,القبيبة,Jerusalem,القدس
359,9,Kharayib Umm al Lahim,خرائب أم اللحم,Jerusalem,القدس
360,9,Beit Hanina,بيت حنينا,Jerusalem,القدس
361,9,Biddu,بدو,Jerusalem,القدس
362,9,An Nabi Samwil,النبي صموئيل,Jerusalem,القدس
363,9,Hizma,حزما,Jerusalem,القدس
364,9,Beit Hanina al Balad,بيت حنينا البلد,Jerusalem,القدس
365,9,Qatanna,قطنه,Jerusalem,القدس
366,9,Beit Surik,بيت سوريك,Jerusalem,القدس
367,9,Beit Iksa,بيت إكسا,Jerusalem,القدس
368,9,Shu'fat Camp,مخيم شعفاط,Jerusalem,القدس
369,9,Shu'fat,شعفاط,Jerusalem,القدس
370,9,Al 'Isawiya,العيسوية,Jerusalem,القدس
371,9,'Anata,عناتا,Jerusalem,القدس
372,9,Al Ka'abina (Tajammu' Badawi),الكعابنه (تجمع بدوي),Jerusalem,القدس
373,9,Az Za'ayyem,الزعيم,Jerusalem,القدس
374,9,Jerusalem (Al Quds),القدس (بيت المقدس),Jerusalem,القدس
375,9,Al 'Eizariya,العيزرية,Jerusalem,القدس
376,9,Silwan,سلوان,Jerusalem,القدس
377,9,Ath Thuri,الثوري,Jerusalem,القدس
378,9,Abu Dis,ابو ديس,Jerusalem,القدس
379,9, 'Arab al Jahalin,عرب الجهالين,Jerusalem,القدس
380,9,Jabal al Mukabbir,جبل المكبر,Jerusalem,القدس
381,9,As Sawahira al Gharbiya,السواحرة الغربية,Jerusalem,القدس
382,9,Beit Safafa,بيت صفافا,Jerusalem,القدس
383,9,As Sawahira ash Sharqiya,السواحرة الشرقية,Jerusalem,القدس
384,9,Sharafat,شرفات,Jerusalem,القدس
385,9,Sur Bahir,صور باهر,Jerusalem,القدس
386,9,Ash Sheikh Sa'd,الشيخ سعد,Jerusalem,القدس
387,9,Umm Tuba,أم طوبا,Jerusalem,القدس
388,10,Al Walaja,الولجة,Bethlehem,بيت لحم
389,10,Battir,بتير,Bethlehem,بيت لحم
390,10,Al 'Ubeidiya,العبيدية,Bethlehem,بيت لحم
391,10,'Ayda Camp,مخيم عايدة,Bethlehem,بيت لحم
392,10,Khallet an Nu'man,خلة النعمان,Bethlehem,بيت لحم
393,10,Al 'Aza Camp,مخيم العزة,Bethlehem,بيت لحم
394,10,Al Khas,الخاص,Bethlehem,بيت لحم
395,10,Al Haddadiya,الحدادية,Bethlehem,بيت لحم
396,10,Khallet Hamameh,خلة حمامة,Bethlehem,بيت لحم
397,10,Bir Onah,بئر عونه,Bethlehem,بيت لحم
398,10,Beit Jala,بيت جالا,Bethlehem,بيت لحم
399,10,Dar  Salah,دار صلاح,Bethlehem,بيت لحم
400,10,Husan,حوسان,Bethlehem,بيت لحم
401,10,Wadi Fukin,وادي فوكين,Bethlehem,بيت لحم
402,10,Bethlehem (Beit Lahm),بيت لحم,Bethlehem,بيت لحم
403,10,Beit Sahur,بيت ساحور,Bethlehem,بيت لحم
404,10,Ad Doha,الدوحة,Bethlehem,بيت لحم
405,10,Al Khadr,الخضر,Bethlehem,بيت لحم
406,10,Ad Duheisha Camp,مخيم الدهيشة,Bethlehem,بيت لحم
407,10,Hindaza,هندازة,Bethlehem,بيت لحم
408,10,Ash Shawawra,الشواورة,Bethlehem,بيت لحم
409,10,Artas,إرطاس,Bethlehem,بيت لحم
410,10,Nahhalin,نحالين,Bethlehem,بيت لحم
411,10,Beit Ta'mir,بيت تعمر,Bethlehem,بيت لحم
412,10,Khallet al Louza,خلة اللوزة,Bethlehem,بيت لحم
413,10,Al Jab'a,الجبعة,Bethlehem,بيت لحم
414,10,Za'tara,زعترة,Bethlehem,بيت لحم
415,10,Jannatah, جناتة (بيت فلوح),Bethlehem,بيت لحم
416,10,Wadi Rahhal,وادي رحال,Bethlehem,بيت لحم
417,10,Jubbet adh Dhib,جبة الذيب,Bethlehem,بيت لحم
418,10,Khallet Sakariya,خلة سكاريا,Bethlehem,بيت لحم
419,10,Khallet al Haddad,خلة الحداد,Bethlehem,بيت لحم
420,10,Al Ma'sara,المعصرة,Bethlehem,بيت لحم
421,10,Wadi an Nis,وادي النيص,Bethlehem,بيت لحم
422,10,Jurat ash Sham'a,جورة الشمعة,Bethlehem,بيت لحم
423,10,Khallet 'Afana,خلة عفانة,Bethlehem,بيت لحم
424,10,Marah Ma'alla,مراح معلا,Bethlehem,بيت لحم
425,10,Umm Salamuna,أم سلمونة,Bethlehem,بيت لحم
426,10,Al Manshiya,المنشية,Bethlehem,بيت لحم
427,10,Tuqu',تقوع,Bethlehem,بيت لحم
